,timestamp_ns,temp_dc
10080,1667260800000000000,
10081,1667261100000000000,
10082,1667261400000000000,
10083,1667261700000000000,
10084,1667262000000000000,
10085,1667262300000000000,
10086,1667262600000000000,
10087,1667262900000000000,
10088,1667263200000000000,
10089,1667263500000000000,
10090,1667263800000000000,
10091,1667264100000000000,
10092,1667264400000000000,
10093,1667264700000000000,
10094,1667265000000000000,
10095,1667265300000000000,
10096,1667265600000000000,
10097,1667265900000000000,
10098,1667266200000000000,
10099,1667266500000000000,
10100,1667266800000000000,
10101,1667267100000000000,
10102,1667267400000000000,
10103,1667267700000000000,
10104,1667268000000000000,
10105,1667268300000000000,
10106,1667268600000000000,
10107,1667268900000000000,
10108,1667269200000000000,
10109,1667269500000000000,
10110,1667269800000000000,
10111,1667270100000000000,
10112,1667270400000000000,
10113,1667270700000000000,
10114,1667271000000000000,
10115,1667271300000000000,
10116,1667271600000000000,
10117,1667271900000000000,
10118,1667272200000000000,
10119,1667272500000000000,
10120,1667272800000000000,
10121,1667273100000000000,
10122,1667273400000000000,
10123,1667273700000000000,
10124,1667274000000000000,
10125,1667274300000000000,
10126,1667274600000000000,
10127,1667274900000000000,
10128,1667275200000000000,
10129,1667275500000000000,
10130,1667275800000000000,
10131,1667276100000000000,
10132,1667276400000000000,
10133,1667276700000000000,
10134,1667277000000000000,
10135,1667277300000000000,
10136,1667277600000000000,
10137,1667277900000000000,
10138,1667278200000000000,
10139,1667278500000000000,
10140,1667278800000000000,
10141,1667279100000000000,
10142,1667279400000000000,
10143,1667279700000000000,
10144,1667280000000000000,
10145,1667280300000000000,
10146,1667280600000000000,
10147,1667280900000000000,
10148,1667281200000000000,
10149,1667281500000000000,
10150,1667281800000000000,
10151,1667282100000000000,
10152,1667282400000000000,
10153,1667282700000000000,
10154,1667283000000000000,
10155,1667283300000000000,
10156,1667283600000000000,
10157,1667283900000000000,
10158,1667284200000000000,
10159,1667284500000000000,
10160,1667284800000000000,
10161,1667285100000000000,
10162,1667285400000000000,
10163,1667285700000000000,
10164,1667286000000000000,
10165,1667286300000000000,
10166,1667286600000000000,
10167,1667286900000000000,
10168,1667287200000000000,
10169,1667287500000000000,
10170,1667287800000000000,
10171,1667288100000000000,
10172,1667288400000000000,
10173,1667288700000000000,
10174,1667289000000000000,
10175,1667289300000000000,
10176,1667289600000000000,
10177,1667289900000000000,
10178,1667290200000000000,
10179,1667290500000000000,
10180,1667290800000000000,
10181,1667291100000000000,
10182,1667291400000000000,
10183,1667291700000000000,
10184,1667292000000000000,
10185,1667292300000000000,
10186,1667292600000000000,
10187,1667292900000000000,
10188,1667293200000000000,
10189,1667293500000000000,
10190,1667293800000000000,
10191,1667294100000000000,
10192,1667294400000000000,
10193,1667294700000000000,
10194,1667295000000000000,
10195,1667295300000000000,
10196,1667295600000000000,
10197,1667295900000000000,
10198,1667296200000000000,
10199,1667296500000000000,
10200,1667296800000000000,
10201,1667297100000000000,
10202,1667297400000000000,
10203,1667297700000000000,
10204,1667298000000000000,
10205,1667298300000000000,
10206,1667298600000000000,
10207,1667298900000000000,
10208,1667299200000000000,
10209,1667299500000000000,
10210,1667299800000000000,
10211,1667300100000000000,
10212,1667300400000000000,
10213,1667300700000000000,
10214,1667301000000000000,
10215,1667301300000000000,
10216,1667301600000000000,
10217,1667301900000000000,
10218,1667302200000000000,
10219,1667302500000000000,
10220,1667302800000000000,
10221,1667303100000000000,
10222,1667303400000000000,
10223,1667303700000000000,
10224,1667304000000000000,
10225,1667304300000000000,
10226,1667304600000000000,
10227,1667304900000000000,
10228,1667305200000000000,
10229,1667305500000000000,
10230,1667305800000000000,
10231,1667306100000000000,
10232,1667306400000000000,
10233,1667306700000000000,
10234,1667307000000000000,
10235,1667307300000000000,
10236,1667307600000000000,
10237,1667307900000000000,
10238,1667308200000000000,
10239,1667308500000000000,
10240,1667308800000000000,
10241,1667309100000000000,
10242,1667309400000000000,
10243,1667309700000000000,
10244,1667310000000000000,
10245,1667310300000000000,
10246,1667310600000000000,
10247,1667310900000000000,
10248,1667311200000000000,
10249,1667311500000000000,
10250,1667311800000000000,
10251,1667312100000000000,
10252,1667312400000000000,
10253,1667312700000000000,
10254,1667313000000000000,
10255,1667313300000000000,
10256,1667313600000000000,
10257,1667313900000000000,
10258,1667314200000000000,
10259,1667314500000000000,
10260,1667314800000000000,
10261,1667315100000000000,
10262,1667315400000000000,
10263,1667315700000000000,
10264,1667316000000000000,
10265,1667316300000000000,
10266,1667316600000000000,
10267,1667316900000000000,
10268,1667317200000000000,
10269,1667317500000000000,
10270,1667317800000000000,
10271,1667318100000000000,
10272,1667318400000000000,
10273,1667318700000000000,
10274,1667319000000000000,
10275,1667319300000000000,
10276,1667319600000000000,
10277,1667319900000000000,
10278,1667320200000000000,
10279,1667320500000000000,
10280,1667320800000000000,
10281,1667321100000000000,
10282,1667321400000000000,
10283,1667321700000000000,
10284,1667322000000000000,
10285,1667322300000000000,
10286,1667322600000000000,
10287,1667322900000000000,
10288,1667323200000000000,
10289,1667323500000000000,
10290,1667323800000000000,
10291,1667324100000000000,
10292,1667324400000000000,
10293,1667324700000000000,
10294,1667325000000000000,
10295,1667325300000000000,
10296,1667325600000000000,
10297,1667325900000000000,
10298,1667326200000000000,
10299,1667326500000000000,
10300,1667326800000000000,
10301,1667327100000000000,
10302,1667327400000000000,
10303,1667327700000000000,
10304,1667328000000000000,
10305,1667328300000000000,
10306,1667328600000000000,
10307,1667328900000000000,
10308,1667329200000000000,
10309,1667329500000000000,
10310,1667329800000000000,
10311,1667330100000000000,
10312,1667330400000000000,
10313,1667330700000000000,
10314,1667331000000000000,
10315,1667331300000000000,
10316,1667331600000000000,
10317,1667331900000000000,
10318,1667332200000000000,
10319,1667332500000000000,
10320,1667332800000000000,
10321,1667333100000000000,
10322,1667333400000000000,
10323,1667333700000000000,
10324,1667334000000000000,
10325,1667334300000000000,
10326,1667334600000000000,
10327,1667334900000000000,
10328,1667335200000000000,
10329,1667335500000000000,
10330,1667335800000000000,
10331,1667336100000000000,
10332,1667336400000000000,
10333,1667336700000000000,
10334,1667337000000000000,
10335,1667337300000000000,
10336,1667337600000000000,
10337,1667337900000000000,
10338,1667338200000000000,
10339,1667338500000000000,
10340,1667338800000000000,
10341,1667339100000000000,
10342,1667339400000000000,
10343,1667339700000000000,
10344,1667340000000000000,
10345,1667340300000000000,
10346,1667340600000000000,
10347,1667340900000000000,
10348,1667341200000000000,
10349,1667341500000000000,
10350,1667341800000000000,
10351,1667342100000000000,
10352,1667342400000000000,
10353,1667342700000000000,
10354,1667343000000000000,
10355,1667343300000000000,
10356,1667343600000000000,
10357,1667343900000000000,
10358,1667344200000000000,
10359,1667344500000000000,
10360,1667344800000000000,
10361,1667345100000000000,
10362,1667345400000000000,
10363,1667345700000000000,
10364,1667346000000000000,
10365,1667346300000000000,
10366,1667346600000000000,
10367,1667346900000000000,
10368,1667347200000000000,
10369,1667347500000000000,
10370,1667347800000000000,
10371,1667348100000000000,
10372,1667348400000000000,
10373,1667348700000000000,
10374,1667349000000000000,
10375,1667349300000000000,
10376,1667349600000000000,
10377,1667349900000000000,
10378,1667350200000000000,
10379,1667350500000000000,
10380,1667350800000000000,
10381,1667351100000000000,
10382,1667351400000000000,
10383,1667351700000000000,
10384,1667352000000000000,
10385,1667352300000000000,
10386,1667352600000000000,
10387,1667352900000000000,
10388,1667353200000000000,
10389,1667353500000000000,
10390,1667353800000000000,
10391,1667354100000000000,
10392,1667354400000000000,
10393,1667354700000000000,
10394,1667355000000000000,
10395,1667355300000000000,
10396,1667355600000000000,
10397,1667355900000000000,
